COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
SIL,Residential,893.3886327,0,1,0.000115808,0,0,0,0.000463231,0,357,333,8110,525,0.939200926,8635,Mandarin,75,0.01,Spanish,60,0.01,Russian,40,0,0.013202085,0.024088014
UMR,Residential,2271.092795,0,1,0.000401606,0,0,0,0.000803213,0,"6,209.00","6,399.00",2330,160,0.935742972,2490,Cantonese,45,0.02,Persian (Farsi),20,0.01,Russian,15,0.01,0.040562249,0.062650602
WHI,Residential,794.208595,0,1,9.29368E-05,0,0,0,0.000464684,0,"6,459.00","6,388.00",6515,4245,0.605483271,10760,Punjabi (Panjabi),1050,0.09,"Tagalog (Pilipino, Filipino)",555,0.05,Arabic,420,0.03,0.02964684,0.069144981
SOV,Residential,640.0391481,0,1,0.000571429,0,0,0,0.001142857,0,"2,389.00","2,292.00",1540,210,0.88,1750,Portuguese,35,0.02,Arabic,35,0.02,Romanian,25,0.01,0.074857143,0.353142857
TEM,Residential,804.179733,0,1,9.63855E-05,0,0,0,0.000481928,0,"5,975.00","5,696.00",7665,2710,0.738795181,10375,Punjabi (Panjabi),495,0.04,Arabic,350,0.03,Vietnamese,250,0.02,0.03460241,0.068433735
SIG,Residential,1148.979868,0,0,0,0,1,0,0.000153905,0,"2,943.00","3,044.00",10505,2490,0.808387841,12995,Korean,320,0.02,Mandarin,300,0.02,Cantonese,255,0.02,0.020084648,0.045325125
SDC,Residential,1002.754703,0,0,0,0,0,1,0.000605755,0,"1,677.00","1,651.00",9140,765,0.92276628,9905,Mandarin,160,0.02,"Tagalog (Pilipino, Filipino)",110,0.01,Cantonese,105,0.01,0.009389197,0.018677436
STR,Residential,1192.853228,0,1,0.000150943,0,0,0,0.000603774,0,"6,216.00","5,769.00",5805,820,0.876226415,6625,Mandarin,110,0.02,Arabic,100,0.01,Cantonese,85,0.01,0.014188679,0.015698113
SHN,Residential,913.2318818,0,1,0.000114025,0,1,0,0.0004561,0,"11,203.00","11,078.00",6995,1775,0.797605473,8770,"Tagalog (Pilipino, Filipino)",465,0.05,Mandarin,215,0.02,Spanish,155,0.02,0.026339795,0.104218928
WOO,Residential,875.5026989,0,1,0.000168919,0,0,0,0.000506757,0,"3,459.00","3,796.00",5155,765,0.870777027,5920,Russian,165,0.03,Spanish,90,0.01,Mandarin,55,0.01,0.022297297,0.052364865
